id,session_id,timestamp,signal_type,frequency,bandwidth,rssi,antenna_id,location
7441,room01_20250709_151402,2025-07-09 14:14:21.716781,RC Ground,40,1,-23.523718705466358,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7442,room01_20250709_151402,2025-07-09 14:14:21.716781,TETRA / Emergency,380,1,-6.838955795388509,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7443,room01_20250709_151402,2025-07-09 14:14:21.716781,TETRA / Emergency,385,1,-6.594151086439194,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7444,room01_20250709_151402,2025-07-09 14:14:21.716781,TETRA / Emergency,390,1,-6.586386150831769,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7445,room01_20250709_151402,2025-07-09 14:14:21.716781,TETRA / Emergency,395,1,-6.1880638158758785,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7446,room01_20250709_151402,2025-07-09 14:14:21.716781,TETRA / Emergency,400,1,-6.799844738897005,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7447,room01_20250709_151402,2025-07-09 14:14:21.716781,LoRa / ISM 433,433,1,-4.512482233523917,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7448,room01_20250709_151402,2025-07-09 14:14:21.716781,ISM 868,869,1,-10.183171686739097,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7449,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 UL,880,1,-23.312012385900434,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7450,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 UL,889,1,-20.928370502858268,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7451,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 UL,898,1,-19.842562606620078,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7452,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 UL,906,1,-15.265269737343505,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7453,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 UL,915,1,-20.933631705945032,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7454,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 DL,925,1,-16.78191372493826,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7455,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 DL,934,1,-12.522566053916835,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7456,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 DL,942,1,-19.215238483506315,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7457,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 DL,951,1,-25.638581102915303,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7458,room01_20250709_151402,2025-07-09 14:14:21.716781,GSM 900 DL,960,1,-19.52460481968799,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7459,room01_20250709_151402,2025-07-09 14:14:21.716781,FM Radio,88,1,-16.83994655834473,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7460,room01_20250709_151402,2025-07-09 14:14:21.716781,FM Radio,93,1,-10.68097648768835,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7461,room01_20250709_151402,2025-07-09 14:14:21.716781,FM Radio,98,1,-7.287456342476592,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7462,room01_20250709_151402,2025-07-09 14:14:21.716781,FM Radio,103,1,-11.569949855017935,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7463,room01_20250709_151402,2025-07-09 14:14:21.716781,FM Radio,108,1,-15.203772507086434,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7464,room01_20250709_151402,2025-07-09 14:14:21.716781,Airband (AM),118,1,-16.639012552954515,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7465,room01_20250709_151402,2025-07-09 14:14:21.716781,Airband (AM),123,1,-10.293353656436544,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7466,room01_20250709_151402,2025-07-09 14:14:21.716781,Airband (AM),128,1,-8.72858765626243,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7467,room01_20250709_151402,2025-07-09 14:14:21.716781,Airband (AM),132,1,-10.91525094905281,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7468,room01_20250709_151402,2025-07-09 14:14:21.716781,Airband (AM),137,1,-15.016404588897569,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7469,room01_20250709_151402,2025-07-09 14:14:21.716781,AIS / Marine,162,1,-20.891951734751103,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7470,room01_20250709_151402,2025-07-09 14:14:21.716781,ADS-B 1090,1090,1,-27.68625585041385,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7471,room01_20250709_151402,2025-07-09 14:14:21.716781,LTE 1800,1710,1,-33.31053042414031,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7472,room01_20250709_151402,2025-07-09 14:14:21.716781,LTE 1800,1722,1,-35.08018830528388,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7473,room01_20250709_151402,2025-07-09 14:14:21.716781,LTE 1800,1735,1,-35.75161756317649,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7474,room01_20250709_151402,2025-07-09 14:14:21.716781,LTE 1800,1748,1,-36.673463255841035,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7475,room01_20250709_151402,2025-07-09 14:14:21.716781,LTE 1800,1760,1,-36.56003899094141,rtl-sdr-1,0101000020110F000000000000140CF4BF00000000E09CD13F
7476,room01_20250709_151402,2025-07-09 14:14:24.619411,RC Low Band,27,1,-24.10132537730377,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7477,room01_20250709_151402,2025-07-09 14:14:24.619411,RC Aircraft,35,1,-22.644954256206972,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7478,room01_20250709_151402,2025-07-09 14:14:24.619411,RC Ground,40,1,-22.607508565687034,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7479,room01_20250709_151402,2025-07-09 14:14:24.619411,TETRA / Emergency,380,1,-6.387386205136501,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7480,room01_20250709_151402,2025-07-09 14:14:24.619411,TETRA / Emergency,385,1,-6.201217974846256,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7481,room01_20250709_151402,2025-07-09 14:14:24.619411,TETRA / Emergency,390,1,-6.513056905087518,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7482,room01_20250709_151402,2025-07-09 14:14:24.619411,TETRA / Emergency,395,1,-6.613501169507976,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7483,room01_20250709_151402,2025-07-09 14:14:24.619411,TETRA / Emergency,400,1,-6.926805447789758,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
7484,room01_20250709_151402,2025-07-09 14:14:24.619411,LoRa / ISM 433,433,1,-5.886198364506452,rtl-sdr-1,0101000020110F000000000000868B01C0000000000097DB3F
